name,lon,lat,May,June,July,Aug,Sep,Oct
50091,121.458448,31.2024366,2987.783198,2721.857923,2764.659137,3223.703705,1652.651362,743.4094106
50104,121.456774,31.2046206,3163.972085,3396.91726,3426.960443,2525.66079,2144.486583,1780.427288
50115,121.463818,31.2018255,2782.276741,2454.59511,2791.750035,2965.931291,2554.773834,2872.266461
50116,121.463996,31.2013308,2316.004601,2280.929103,2365.225292,2301.232945,2856.219909,2988.193504
50117,121.461598,31.2020648,2076.778308,1967.219511,2029.96912,1943.819878,1509.055987,1239.194351
50118,121.46118,31.201748,1242.038426,1161.18132,1256.848705,1218.781636,1268.014341,1425.276451
50119,121.460801,31.2013829,1448.611766,1509.343312,1534.132286,1627.322738,1665.863729,1751.920349
50122,121.463593,31.2029907,2103.225799,2471.761368,2435.514929,2452.749865,2183.190022,2325.734291
50123,121.462769,31.2054209,2319.613966,2333.729258,2334.605892,2468.494841,2440.68788,2658.14325
50124,121.461764,31.2016077,1457.034883,1689.499929,1554.989046,1576.335641,1311.133202,1381.895342
50125,121.462962,31.2028615,2989.603654,3247.550613,3014.830179,2514.885458,1537.897757,1502.045965
50126,121.463049,31.2013344,2134.805666,2263.350881,2071.917511,1891.356252,1800.631861,2115.568117
50127,121.463081,31.2017182,2383.6726,2099.831987,2196.493005,2440.867476,2334.304315,2234.660414
50130,121.464118,31.2031903,1735.12368,1882.600299,2074.828499,1237.077313,779.0954612,299.418052
50131,121.463644,31.203,2103.226116,2471.761336,2435.515109,2452.750359,2183.190397,2325.734529
50133,121.465127,31.2034594,2076.532221,2969.852477,2579.190547,1835.223301,1699.424446,1066.783147
50135,121.466126,31.2037686,1734.080834,2292.47498,2074.557999,1331.740878,1017.925268,505.4106156
50138,121.466539,31.201825,2051.144175,1831.308983,2161.337156,2430.349469,2741.172898,1876.115447
50139,121.470666,31.2053153,826.8753013,1159.898558,1131.467076,890.7323925,764.4748485,1387.204169
50141,121.471176,31.2038307,2108.8804,1961.809365,2110.588218,2075.662387,1769.797962,1216.197436
50145,121.472836,31.205595,891.115231,874.5168019,689.0794229,859.7763766,1225.098036,1242.769575
50146,121.473289,31.2058589,974.2547951,1236.881295,1031.314119,1055.335917,1095.801719,1606.452762
50147,121.473749,31.2061129,1517.191443,1327.003185,1474.502651,1413.989707,1438.577708,1499.271123
50154,121.469489,31.2008501,2356.550159,2198.252241,2138.871021,1955.020719,1313.073031,556.1580484
50155,121.470371,31.2047835,2736.919969,2593.018735,2665.50783,2763.381464,2200.00111,1410.118157
50156,121.469862,31.204665,1462.437449,1653.381683,1569.753063,1134.408409,1114.50086,719.9092354
50157,121.469349,31.2045636,2099.266081,2658.816388,2122.980639,1768.191624,1382.57254,849.5591561
50158,121.468844,31.2044263,2033.668364,2761.739147,2555.149093,1603.257456,1132.355878,559.983169
50159,121.468339,31.2042902,2317.131338,2645.991372,2514.797134,1882.457714,1399.830383,941.8698978
50160,121.46783,31.2041737,2604.435894,3053.318376,2927.144658,1818.116875,1693.187238,1234.64769
50161,121.467321,31.2040573,3123.567721,3336.907725,3110.669193,2915.169542,2160.650553,1586.428552
50162,121.46682,31.2039149,2075.589501,2048.857634,2512.628839,1887.746134,2045.612299,1850.829795
50163,121.46652,31.2042236,2294.716307,2400.313882,2402.245077,2523.829792,2944.445088,2577.433893
50164,121.466853,31.204857,2353.795541,2330.709478,2436.60721,1947.513064,1856.033335,1776.784916
50165,121.467359,31.2049866,1256.496538,1095.144158,1275.7662,1557.773091,2145.500652,1693.753391
50166,121.467854,31.2051566,723.5543009,839.1070354,676.7986299,618.8512942,388.5713642,817.4031091
50167,121.468365,31.2052555,2025.680564,2152.194314,2193.661714,2339.734634,2330.049407,1557.710096
50168,121.468869,31.2054006,682.7975758,703.473562,593.4970185,630.5436488,772.4676695,965.2714495
50169,121.469369,31.2055551,851.3115187,742.162038,923.9337268,929.4411586,1069.058793,1292.323748
50170,121.469877,31.205686,1110.516301,1034.211315,1100.412779,1525.207114,1942.032294,1772.461116
50171,121.47035,31.2058906,2531.270542,2464.566141,2268.108023,3009.592863,3679.559482,3695.652121
50172,121.466757,31.2028975,864.2096334,946.819446,996.4190942,976.0386399,1231.073814,1076.395613
50173,121.466757,31.2034235,761.017421,722.7363823,833.2623363,955.8363466,1050.112599,1378.820146
50174,121.466832,31.2023211,1287.745732,1170.09371,1184.159199,1315.744268,1207.309867,1497.352194
50175,121.46728,31.2013788,1212.266622,1386.550747,1367.729555,1202.561641,1076.864222,1027.746918
50177,121.467139,31.2018264,1269.821707,1189.9538,1222.245242,1393.240426,1619.472452,1401.957798
50184,121.476303,31.202372,477.967629,511.1184676,623.6174059,618.0917954,703.7086964,516.4222013
50187,121.471551,31.2029044,280.9903859,328.4264147,400.2528162,333.0752502,792.6825257,1389.976911
50188,121.474379,31.2056229,320.7173378,379.1282089,255.3261991,310.3594763,54.6356588,184.5864529
