name,PF,PD_5,PD_6,PD_7,PD_8,PD_9,PD_10
19318,0.19921311,0.391135076,0.40925665,0.478076199,0.347737121,0.422838246,0.527856326
19319,0.171498147,0.435732935,0.399941259,0.44121679,0.4768966,0.410838202,0.436534507
19320,0.236502354,0.515347137,0.518639765,0.536599094,0.501598912,0.436104473,0.379569973
19321,0.05159537,0.260242516,0.309279275,0.338987574,0.22379743,0.228149091,0.212899207
19322,0.005666335,0,0,0,0,0,0
19323,0.128325671,0.310099276,0.396298095,0.354185991,0.304332411,0.222502612,0.099784711
19324,0.004579015,0.047178433,0.076674823,0.089559545,0.068425546,0.012612308,0
19325,0.261702528,0.496341762,0.488908122,0.531530772,0.4203816,0.437570546,0.424071048
19335,0.136063563,0.27137617,0.361004996,0.338990525,0.146002748,0.266890636,0.325959679
19336,0.032149054,0.091228616,0.111492899,0.107123121,0.058069353,0.087001163,0.150259363
19337,0.0541942,0.299671246,0.318317869,0.327907044,0.334951799,0.215712744,0.235546478
19356,0.008188145,0.139740811,0.173190265,0.134360307,0.03706873,0.03450952,0.157669988
19357,0.130470413,0.149926514,0.126403156,0.165188575,0.198886586,0.365964107,0.384425155
19358,0.165450462,0.645001119,0.6738654,0.633366229,0.602421818,0.470164042,0.328305514
19360,0.327980013,0.414894897,0.474775511,0.439732756,0.358776788,0.469376483,0.624851231
19361,0.258550665,0.349107383,0.427887742,0.401371042,0.348837729,0.288517955,0.303476045
19362,0.273779043,0.450542385,0.370387791,0.383184059,0.518483373,0.427129841,0.360128814
19363,0.03589811,0.188498898,0.235456216,0.252965053,0.169606604,0.124549588,0.051183949
19364,0.131679736,0.299669499,0.372403176,0.342804336,0.262387119,0.244073988,0.17179249
19365,0.012725182,0.181620043,0.212487488,0.171708761,0.090156258,0.068370586,0.022547531
19366,0.016515767,0.153537199,0.248058143,0.2140239,0.133221331,0.059272169,0.036051715
19368,0.008287349,0.099967252,0.12003341,0.141783534,0.123152783,0.173354445,0.179141667
