name,PF,PD_5,PD_6,PD_7,PD_8,PD_9,PD_10
59592,0.05369118,0.202411236,0.279457819,0.312877142,0.120297593,0.046248722,0.026617852
59593,0.019484994,0.450881255,0.339621921,0.415779151,0.311677107,0.421463562,0.372803222
59594,0.220393473,0.291032419,0.224518719,0.23280197,0.268609656,0.285784803,0.300168822
59595,0.145521781,0.310085046,0.250127538,0.261193026,0.341852324,0.243331381,0.25456056
59596,0.167639883,0.102852382,0.097229299,0.097910196,0.116398384,0.225115598,0.31813002
59597,0.20464911,0.253790978,0.206175583,0.201424055,0.266589194,0.309027476,0.345988622
59598,0.227213894,0.403088908,0.279559248,0.320114595,0.427285136,0.471484286,0.399527528
59599,0.250296626,0.377787241,0.473079984,0.472418036,0.383961571,0.363840852,0.329983973
59600,0.463241691,0.822244825,0.857956431,0.803559144,0.8384918,0.876084159,0.86172689
59601,0.45778963,0.892951935,0.946248463,0.892380409,0.928018643,0.896626387,0.75767856
59602,0.031432899,0.261745992,0.260824761,0.238928851,0.170316393,0.242178955,0.200418686
59603,0.104150669,0.473969735,0.529187332,0.534547978,0.507982528,0.357041389,0.179025668
59604,0.05449184,0.358250068,0.445822739,0.408221608,0.346659942,0.211524626,0.169157922
59605,0.155541628,0.398482341,0.419706111,0.466450284,0.429520623,0.328234994,0.311908639
59606,0.040952781,0.361573314,0.438595915,0.383321878,0.228130192,0.38681959,0.1647624
59608,0.087703193,0.584777304,0.345172331,0.521897047,0.675749566,0.549171593,0.384827056
59609,0.364308277,0.400193785,0.445513942,0.442374792,0.398853553,0.5236364,0.492157064
59610,0.380538979,0.430241639,0.508037998,0.507853244,0.415029151,0.49411929,0.593623006
59615,0.121992863,0.570341371,0.523304715,0.549445005,0.738080437,0.572103464,0.360547509
59616,0.177932075,0.270511312,0.388781677,0.317639704,0.245772917,0.348395494,0.241085844
59622,0.115031676,0.542411859,0.531693143,0.489118144,0.535062678,0.490299461,0.468934473
59623,0.109920485,0.563025503,0.508325612,0.573531633,0.59409807,0.456419861,0.486112469
59624,0.176301698,0.608691487,0.573659536,0.590189228,0.604821361,0.571443844,0.508210593
59626,0.109920485,0.563024282,0.508324928,0.573530638,0.594096789,0.456418968,0.486112296
59627,0.14644231,0.361320201,0.536722999,0.391903356,0.26616458,0.371001513,0.545646291
59628,0.18191964,0.420226081,0.380944699,0.437772704,0.463741397,0.460914435,0.528131229
59629,0.176497423,0.205730052,0.241712434,0.183129038,0.244048447,0.152185736,0.222103994
59632,0.359926815,0.592485242,0.570095062,0.639816615,0.504883478,0.602668374,0.530881005
59633,0.351808696,0.34355206,0.371046122,0.389503526,0.383874779,0.545042437,0.663226959
59634,0.360535933,0.4875832,0.514289963,0.542285294,0.51541271,0.500544357,0.644868642
59636,0.191739585,0.390999714,0.318399092,0.321952194,0.387019634,0.325406104,0.407556962
59638,0.395076834,0.910682009,0.92836698,0.964005914,0.891975615,0.745989711,0.618654574
59639,0.363886959,0.875318673,0.946262041,0.856712446,0.909979413,0.833592627,0.665322219
59640,0.3551963,0.929122925,0.892759986,0.928010815,0.891963163,0.893844009,0.695668136
59641,0.349221625,0.875689374,0.857605529,0.839161723,0.874625735,0.932296847,0.83876409
59642,0.395134371,0.727128251,0.725547984,0.740964128,0.821526248,0.858576462,0.899574015
59646,0.401301522,0.91097565,0.857055258,0.946428592,0.891946574,0.893895635,0.758886723
59647,0.398662504,0.807938763,0.77049994,0.839929995,0.829066242,0.721982639,0.652208875
59648,0.349776794,0.844430722,0.798085968,0.822680954,0.83067267,0.776894052,0.69351279
59649,0.412215549,0.824112527,0.806076997,0.840085533,0.804893737,0.722210778,0.861883418
59651,0.426879268,0.875689278,0.804518561,0.875094404,0.910849314,0.946793787,0.930192202
59652,0.431110331,0.928685517,0.874833111,0.946106891,0.963879901,0.876112546,0.912832753
59654,0.418377561,0.83036078,0.877685085,0.860987506,0.747382816,0.682474373,0.707118664
59655,0.411878587,0.822919666,0.722006766,0.804502096,0.820660218,0.612807222,0.72594581
59675,0.27969454,0.335947296,0.393745675,0.369623488,0.294202918,0.255735123,0.368075239
59676,0.3093201,0.553222355,0.489070178,0.472136986,0.492141887,0.385859839,0.529281232
59677,0.302728645,0.55942633,0.535497998,0.576703983,0.483444954,0.456328919,0.567774548
59678,0.184813364,0.400763972,0.372270907,0.411552877,0.464509958,0.356490563,0.400407145
59679,0.399926134,0.610024859,0.62721345,0.590569173,0.587635709,0.704007972,0.792867517
59682,0.385052014,0.893198172,0.892707884,0.892603255,0.910332499,0.895349157,0.692978508
59683,0.399958069,0.574724772,0.67350766,0.673867839,0.538027687,0.655557584,0.661552439
59684,0.41029935,0.585942476,0.649891296,0.703723021,0.64976114,0.653957026,0.724927519
59685,0.428433482,0.806279484,0.804823398,0.804198068,0.698667652,0.686225094,0.741078999
59687,0.455753061,0.736219477,0.700602672,0.716497172,0.750855942,0.841698505,0.809661588
59688,0.471306545,0.7884626,0.804386586,0.804441361,0.821598286,0.858727795,0.84429261
59689,0.477875714,0.858373489,0.823257121,0.857756748,0.893112333,0.930664011,0.930243861
59690,0.48705168,0.875544585,0.874687615,0.910458627,0.981991701,0.911537397,0.96517916
59691,0.369801372,0.946421031,0.964112387,0.892191529,0.841298671,0.773800865,0.836768659
59694,0.361308719,0.771022835,0.842030034,0.857146388,0.840310158,0.746060632,0.508263414
59695,0.370932441,0.858627319,0.824236842,0.840605465,0.910206728,0.731681108,0.662188229
59696,0.415190024,0.807301195,0.893625386,0.840111364,0.839901362,0.806489765,0.729406578
59697,0.394520826,0.825431304,0.877670606,0.860296731,0.789031319,0.637668599,0.684868862
59701,0.397544429,0.946339799,0.946229482,0.910067754,0.963940717,0.771733387,0.642207941
59715,0.418804462,0.910682923,0.946599964,0.946060544,0.981992268,0.863004946,0.633380488
59716,0.407125282,0.928567422,0.964174214,0.910173155,0.909860058,0.859091298,0.75672426
59717,0.416283115,0.946370527,0.892706063,0.928181347,0.927800393,0.893874173,0.90391301
59718,0.424514184,0.928610139,0.910816427,0.964047214,0.892011408,0.929192132,0.913208135
59720,0.454803355,0.964253583,1,0.963982779,0.981932362,0.894121254,0.895383891
59721,0.452148378,0.875085993,0.946214695,0.910112318,0.946650163,0.876948459,0.930561395
59723,0.443254887,0.89289962,0.9103949,0.910265764,0.909951779,0.898460244,0.843878678
59724,0.427073646,0.877813384,0.825914193,0.876371111,0.893424719,0.764539908,0.712196814
59734,0.399448205,0.788563251,0.754393955,0.787410604,0.874786828,0.89402088,0.982532733
59735,0.425256289,0.80569166,0.8400048,0.839313251,0.910205216,0.876096948,0.878395105
59736,0.422359198,0.78834961,0.805334834,0.75326939,0.821213322,0.894661195,0.89597391
59737,0.377513828,0.857357731,0.857190116,0.85684997,0.892422544,0.858655973,0.735772375
59738,0.403676125,0.805366041,0.804817524,0.821940168,0.927925671,0.946951678,0.896944701
59739,0.374065705,0.769822029,0.752809188,0.718897256,0.857320756,0.894329336,0.895978941
59740,0.411800887,0.840253324,0.769972456,0.804426978,0.892123979,0.911454374,0.844051649
59741,0.391149793,0.770225406,0.770453793,0.751521408,0.875123842,0.89384371,0.930333703
59742,0.439279595,0.875262752,0.822350302,0.820894834,0.891909769,0.911567824,0.895849352
59743,0.46456634,0.823251015,0.822693259,0.786125358,0.910283572,0.929165111,0.947657695
59744,0.387293991,0.788350374,0.770275213,0.769587815,0.840295087,0.911533898,0.896116216
59745,0.399329269,0.770011902,0.770299091,0.768931003,0.840081818,0.911545843,0.89570575
59746,0.397664769,0.788801022,0.787329803,0.768560715,0.928132967,0.911580246,0.881594402
59747,0.40393254,0.769821948,0.718427679,0.769764483,0.822445212,0.911454071,0.878516638
59749,0.405895506,0.964224515,0.946193825,0.910114754,0.927881447,0.822199502,0.659396228
59750,0.378435696,0.875265913,0.83931758,0.856456227,0.892218828,0.894343292,0.572011979
59751,0.373252133,0.893311489,0.892565456,0.892188909,0.910032651,0.930048559,0.650125046
59752,0.394052506,0.892953322,0.839382227,0.874506421,0.892140659,0.863067226,0.796269114
59753,0.387850969,0.893337994,0.822327877,0.910173213,0.928019367,0.829647036,0.67411622
59754,0.384715447,0.893203739,0.822111115,0.856763519,0.927927891,0.89787352,0.819040348
59755,0.254933552,0.280550553,0.259744042,0.281200737,0.316062243,0.48679829,0.434563964
59756,0.300144728,0.467994751,0.488009392,0.458184708,0.48671892,0.51789277,0.42740426
59757,0.264289954,0.444230265,0.380005902,0.41616028,0.493379754,0.511121328,0.540986178
59758,0.250662302,0.564648294,0.350361696,0.434730162,0.597117766,0.542436597,0.483559288
59760,0.276724052,0.525167114,0.521449837,0.552379725,0.537964725,0.562127527,0.373323336
59761,0.290227447,0.37897853,0.373898528,0.320420011,0.34806094,0.422473367,0.484477282
59762,0.281937503,0.400933853,0.477744273,0.464732981,0.394565218,0.434426484,0.56385241
59763,0.372390045,0.636426595,0.544153856,0.585256546,0.598449385,0.621316241,0.691167477
59765,0.266368129,0.405205696,0.39044295,0.474504313,0.351768587,0.37388989,0.356304229
59766,0.294544481,0.337640768,0.289572953,0.350912411,0.366643155,0.573469957,0.457917165
59767,0.357714287,0.574579495,0.554532039,0.531043316,0.596037716,0.48178277,0.481807785
59768,0.305041228,0.372568569,0.346458341,0.397071225,0.595722999,0.669715369,0.675672827
59769,0.224183224,0.301522902,0.254336609,0.287259592,0.344856155,0.378692044,0.387305841
59770,0.355755976,0.50652595,0.504829192,0.56643792,0.583663746,0.670906277,0.529556815
59771,0.272810347,0.287273658,0.255544666,0.305844911,0.335525457,0.349165611,0.322586582
59772,0.389716886,0.586679745,0.519337012,0.521652269,0.630718092,0.642297443,0.709078388
59774,0.371374153,0.493674462,0.537788021,0.538767732,0.510879164,0.53099694,0.470825436
59775,0.387436177,0.555285491,0.554477972,0.541400724,0.704451693,0.738417991,0.740895135
59776,0.362029153,0.598724889,0.649945524,0.615812075,0.585403767,0.461257032,0.359977407
59781,0.275303743,0.595052702,0.607712669,0.608348784,0.722198868,0.824956996,0.759946246
59782,0.371553611,0.825925646,0.822116923,0.839198821,0.840179016,0.737001245,0.728352601
59783,0.364663138,0.698355632,0.691754847,0.645871042,0.723767794,0.738599444,0.826266307
