name,lon,lat,2013_average,2019_average,2019-2013
1,121.4904727,31.37470948,1459.858996,1058.498267,-401.3607288
2,121.4900018,31.37447509,1749.278062,2150.548449,401.2703865
3,121.489531,31.37424069,277.6609356,274.5124462,-3.14848939
5,121.4914105,31.37515757,1096.608117,834.1133809,-262.4947362
6,121.4918813,31.37538433,983.7383385,1342.009383,358.2710448
7,121.4923488,31.37561775,1536.981277,784.0356824,-752.9455945
12,121.4883094,31.37487483,2341.131254,1562.889723,-778.2415311
15,121.4883638,31.37504407,1951.585616,1669.957716,-281.6278995
37,121.4933545,31.37614917,1658.933309,1622.550349,-36.38296067
38,121.4928872,31.37590824,2341.482462,2347.325745,5.8432825
51,121.4948354,31.37688951,1570.144409,876.7193045,-693.4251049
52,121.4943687,31.37665864,1765.929939,686.4824903,-1079.447449
53,121.4938905,31.37644224,3146.244179,3067.347225,-78.89695383
209,121.4738225,31.36940039,2007.518349,1199.776311,-807.7420376
210,121.4739732,31.36889714,1137.535527,775.8024177,-361.7331091
211,121.4741132,31.36839055,1893.456999,2114.455303,220.9983038
212,121.4742425,31.36788096,1413.92177,756.6469978,-657.2747725
213,121.4743802,31.36737372,4048.278022,3464.254846,-584.0231763
216,121.4751428,31.37083448,880.5886755,701.1916837,-179.3969918
218,121.4731384,31.37020975,884.9909134,1152.870667,267.8797537
219,121.4726321,31.37006927,1997.017732,1947.320838,-49.696894
220,121.4721277,31.36992082,2766.454698,2200.914005,-565.5406933
221,121.4716229,31.36977437,3149.693414,2300.339329,-849.3540857
222,121.4711158,31.36963599,2860.129388,2198.696166,-661.4332223
223,121.4706101,31.36949326,1504.803199,2022.794514,517.9913155
224,121.4701011,31.36936214,1303.875696,1675.622572,371.7468759
229,121.4675775,31.36863401,915.878048,1764.547647,848.6695985
230,121.4670729,31.36851429,1158.627222,2051.330774,892.7035516
231,121.4665771,31.36834253,1008.373155,1582.73543,574.3622751
232,121.4660701,31.36821213,1317.806735,1902.317952,584.511217
235,121.4645619,31.36777396,874.9822204,1487.205647,612.2234268
271,121.4813598,31.37276126,3636.009964,3198.686169,-437.3237955
273,121.4822759,31.37304652,4452.348964,0,-4452.348964
276,121.4835763,31.37116002,1713.755957,1494.74524,-219.0107162
277,121.484047,31.37139448,2322.270777,2014.884405,-307.3863718
278,121.4845176,31.37162853,2230.360176,2333.898286,103.5381097
